,Engine Type,HP or lbs thr ea engine,Max speed Knots,Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,All eng rate of climb,Eng out rate of climb,Takeoff over 50ft,Landing over 50ft,Empty weight lbs,Length ft/in,Wing span ft/in,Range N.M.,Price
0,Piston,145,104.0,91.0,46.0,36,450,900.0,1300.0,2050,1180,25.3,37.5,370,1300000.0
1,Piston,85,89.0,83.0,44.0,15,600,720.0,800.0,1350,820,20.7,36.1,190,1230000.0
2,Piston,90,90.0,78.0,37.0,19,650,475.0,850.0,1300,810,21.5,35.0,210,1600000.0
3,Piston,85,88.0,78.0,37.0,19,620,500.0,850.0,1300,800,21.5,35.0,210,1300000.0
4,Piston,65,83.0,74.0,33.0,14,370,632.0,885.0,1220,740,21.5,35.0,175,1250000.0
5,Piston,65,78.0,72.0,33.0,15,360,583.0,880.0,1250,786,20.4,36.1,180,1100000.0
6,Piston,350,264.0,230.0,80.0,165,1820,3080.0,2100.0,6315,4275,34.1,36.8,868,2500000.0
7,Piston,290,262.0,247.0,77.0,165,1755,2250.0,2076.0,6000,4125,34.9,36.7,1020,2800000.0
8,Piston,290,257.0,235.0,77.0,165,1460,2490.0,2030.0,6000,4056,34.1,36.8,1101,2500000.0
9,Piston,290,257.0,237.0,77.0,165,1460,2490.0,2030.0,6000,3958,34.1,36.8,1174,3000000.0
10,Piston,290,271.0,236.0,69.0,174,1700,2200.0,1625.0,5700,3750,34.1,34.2,1174,3010000.0
11,Piston,290,220.0,212.0,74.0,165,1800,1950.0,1840.0,5500,3737,34.1,34.2,1200,2120000.0
12,Piston,600,128.0,96.0,59.0,46,1600,860.0,770.0,4500,3160,24.4,35.11,148,1450000.0
13,Piston,450,128.0,91.0,52.0,46,1060,1090.0,1150.0,4500,3100,25.7,42.3,190,1450000.0
14,Piston,450,128.0,91.0,58.0,46,990,1145.0,750.0,4500,2870,24.4,35.11,190,1400000.0
15,Piston,300,128.0,74.0,54.0,46,700,1200.0,1000.0,3750,2410,24.4,35.8,226,1150000.0
16,Piston,275,114.0,74.0,54.0,33,600,1275.0,1000.0,3750,2400,24.4,35.8,117,1025000.0
17,Piston,245,114.0,70.0,54.0,33,496,1300.0,1000.0,3750,2300,24.4,35.8,174,850000.0
18,Piston,220,114.0,70.0,48.0,33,435,1360.0,1000.0,3600,2200,24.4,35.8,190,700000.0
19,Piston,90,112.0,108.0,37.0,24,640,1100.0,1200.0,1450,930,20.2,30.0,410,1730000.0
20,Piston,90,113.0,104.0,50.0,24,600,1800.0,1600.0,1400,900,20.1,30.0,400,1600000.0
21,Piston,85,99.0,96.0,50.0,24,550,2100.0,1850.0,1400,833,20.1,30.0,360,1350000.0
22,Piston,150,116.0,109.0,43.0,39,1120,535.0,755.0,1650,1140,22.7,34.5,411,1700000.0
23,Piston,150,109.0,103.0,37.0,37,1140,617.0,718.0,1650,1050,22.9,34.5,411,1810000.0
24,Piston,150,113.0,109.0,43.0,39,1120,535.0,755.0,1650,1140,22.8,33.5,411,1700000.0
25,Piston,150,113.0,111.0,39.0,35,1145,457.0,690.0,1650,1150,22.8,34.3,480,1700000.0
26,Piston,115,109.0,107.0,44.0,35,725,716.0,775.0,1650,1067,22.8,33.5,301,1200000.0
27,Piston,90,117.0,97.0,38.0,26,700,1240.0,700.0,1450,820,21.6,35.1,350,1550000.0
28,Piston,160,168.0,160.0,63.0,80,1160,1805.0,1330.0,3800,2588,29.7,36.9,680,1740000.0
29,Piston,180,148.0,139.0,53.0,51,850,1550.0,1120.0,2400,1360,22.0,31.6,530,1380000.0
30,Piston,150,136.0,127.0,52.0,37,660,1600.0,1100.0,2200,1323,22.0,31.6,428,1265000.0
31,Piston,150,130.0,122.0,50.0,38,660,1600.0,1100.0,2200,1271,22.0,31.5,503,1265000.0
32,Piston,108,120.0,108.0,52.0,24,705,1590.0,1100.0,1560,975,19.2,24.5,348,1275000.0
33,Piston,108,120.0,109.0,51.0,24,765,1400.0,1065.0,1500,1007,19.3,24.5,350,1375000.0
34,Piston,600,122.0,96.0,61.0,54,1000,1200.0,800.0,6000,3400,29.4,44.4,275,1500000.0
35,Propjet,850,294.0,279.0,75.0,544,2450,3345.0,2845.0,12500,7538,43.9,54.6,1972,3500000.0
36,Propjet,850,290.0,272.0,75.0,544,2450,3345.0,2845.0,12500,7538,43.9,54.6,1870,3288000.0
37,Propjet,715,265.0,258.0,83.0,470,1963,2951.0,2679.0,11800,7082,39.11,45.11,1080,2485000.0
38,Propjet,680,248.0,235.0,75.0,470,1963,3245.0,2944.0,11500,6797,39.11,45.11,1000,2485000.0
39,Propjet,680,248.0,239.0,73.0,374,2200,1729.0,2138.0,10600,6440,39.9,45.1,1005,2590000.0
40,Propjet,750,279.0,265.0,79.0,470,2455,2808.0,2275.0,10950,6647,39.1,45.11,1235,3045000.0
41,Propjet,750,267.0,261.0,77.0,470,2380,2856.0,2275.0,10950,6549,39.1,45.11,1235,2980200.0
42,Propjet,550,250.0,245.0,77.0,474,1870,2024.0,2110.0,10100,5996,35.6,50.3,1290,2762000.0
43,Propjet,550,247.0,240.0,75.0,384,2137,2261.0,1672.0,10100,5765,35.6,50.3,1120,3000000.0
44,Propjet,550,223.0,217.0,76.0,384,1955,2261.0,1672.0,9650,5765,35.6,50.3,1120,2810000.0
45,Propjet,550,223.0,219.0,74.0,384,2000,2180.0,2010.0,9650,5685,36.6,50.3,1185,2720000.0
46,Propjet,550,223.0,216.0,77.0,384,1900,2150.0,1960.0,9300,5680,35.6,45.1,1160,3020000.0
47,Propjet,500,243.0,235.0,75.0,384,2000,1755.0,1870.0,9000,5680,35.6,45.1,1270,2840000.0
48,Piston,380,214.0,192.0,71.0,264,1275,1800.0,2311.0,8800,6035,35.6,50.3,902,2680000.0
49,Piston,380,216.0,196.0,70.0,200,1275,2556.0,2572.0,8800,5277,35.6,50.3,656,2680000.0
50,Piston,380,216.0,195.0,71.0,214,1275,1800.0,2311.0,8800,5120,35.6,50.3,716,2680000.0
51,Piston,380,219.0,200.0,70.0,214,1585,1800.0,2143.0,8500,4900,35.6,50.3,716,2850000.0
52,Piston,380,208.0,191.0,67.0,230,1300,1450.0,2070.0,8000,4800,35.2,50.3,746,2800000.0
53,Piston,340,208.0,186.0,70.0,214,1375,1675.0,2107.0,8200,4995,35.6,50.4,755,3000000.0
54,Piston,340,208.0,186.0,70.0,214,1300,1560.0,1750.0,7700,4980,35.6,45.1,755,3130000.0
55,Piston,340,200.0,186.0,70.0,180,1300,1700.0,1980.0,7700,4640,33.3,45.1,630,2700000.0
56,Piston,380,246.0,233.0,73.0,142,1601,2626.0,3065.0,6775,4425,33.1,39.3,1010,3000000.0
57,Piston,380,249.0,240.0,76.0,142,1601,2626.0,3065.0,6775,4175,33.1,39.3,824,3080000.0
58,Piston,380,249.0,236.0,76.0,142,1615,1660.0,2340.0,6725,4100,33.1,39.3,824,3130000.0
59,Piston,450,204.0,191.0,76.0,198,1400,2072.0,1850.0,9900,5845,35.2,49.8,622,2030000.0
60,Piston,450,200.0,186.0,73.0,275,1410,1980.0,1850.0,9700,5910,35.1,49.6,880,2140000.0
61,Piston,450,203.0,187.0,71.0,206,1250,2079.0,1569.0,9300,6150,33.1,47.7,638,2300000.0
62,Piston,450,200.0,183.0,67.0,206,1190,1760.0,1460.0,8750,5770,33.1,47.7,632,2050000.0
63,Piston,340,204.0,180.0,72.0,180,1270,1250.0,1840.0,7300,4480,31.5,45.9,787,2950000.0
64,Piston,340,209.0,184.0,72.0,180,1320,1250.0,1840.0,7000,4460,31.5,45.9,813,2950000.0
65,Piston,295,186.0,178.0,62.0,134,1450,1260.0,1452.0,6300,4100,31.5,45.9,670,2000000.0
66,Piston,275,178.0,161.0,60.0,134,1450,1260.0,1375.0,6000,3956,31.5,45.2,726,2000000.0
67,Piston,260,177.0,159.0,60.0,134,1450,1344.0,1215.0,6000,3940,31.5,45.2,733,2000000.0
68,Piston,260,177.0,158.0,56.0,134,1450,1350.0,1215.0,5500,3800,31.5,45.2,722,1900000.0
69,Piston,325,261.0,232.0,78.0,166,1475,2643.0,2427.0,6200,4026,29.11,37.1,1013,2500000.0
70,Piston,310,256.0,214.0,79.0,166,1529,2376.0,2498.0,6100,3985,29.1,37.1,1130,2500000.0
71,Piston,310,231.0,207.0,79.0,166,1424,2761.0,2498.0,6100,3985,29.1,37.1,1104,2500000.0
72,Piston,325,261.0,232.0,78.0,166,1475,2643.0,2427.0,6200,3788,29.11,37.1,1013,2500000.0
73,Piston,310,250.0,214.0,79.0,166,1461,2376.0,2498.0,6100,3780,29.1,37.1,1130,2500000.0
74,Piston,300,208.0,195.0,74.0,136,1750,2371.0,2498.0,5500,3443,29.1,37.1,1109,2068800.0
75,Piston,285,208.0,195.0,74.0,136,1660,2101.0,2498.0,5400,3361,29.1,37.1,1109,1860000.0
76,Piston,380,252.0,247.0,73.0,142,2020,1420.0,2080.0,5990,3700,29.0,37.1,737,3220000.0
77,Piston,380,252.0,247.0,73.0,142,2020,1420.0,2080.0,5990,3650,28.3,37.1,737,3220000.0
78,Piston,285,208.0,195.0,73.0,100,1682,968.0,1414.0,5300,3291,29.0,37.1,934,1910000.0
79,Piston,285,210.0,200.0,67.0,112,1670,968.0,1414.0,5300,3075,28.3,37.1,550,2090000.0
80,Piston,260,201.0,184.0,73.0,100,1693,2154.0,2148.0,5100,3236,28.0,37.1,739,1930000.0
81,Piston,260,205.0,196.0,68.0,112,1670,1225.0,1370.0,5100,3075,27.0,37.1,763,1970000.0
82,Piston,260,200.0,191.0,66.0,112,1700,1700.0,1470.0,4880,2960,26.5,37.8,745,1950000.0
83,Piston,260,200.0,191.0,66.0,112,1630,1700.0,1470.0,4880,2960,25.7,37.8,745,1920000.0
84,Piston,180,183.0,174.0,61.0,80,1250,1280.0,1590.0,4200,2650,25.1,37.1,661,1810000.0
85,Piston,180,183.0,174.0,61.0,80,1250,2100.0,1850.0,4200,2635,25.3,37.1,661,1810000.0
86,Piston,180,183.0,170.0,61.0,80,1250,2100.0,1850.0,4100,2635,25.3,37.9,661,1810000.0
87,Piston,180,171.0,158.0,60.0,100,1248,2119.0,1881.0,3900,2460,29.0,38.0,843,1965000.0
88,Piston,300,213.0,190.0,57.0,102,1049,2364.0,1692.0,3850,2338,27.6,37.1,957,2500000.0
89,Piston,300,214.0,190.0,57.0,74,1165,2012.0,1449.0,3650,2278,27.6,33.6,800,2500000.0
90,Piston,300,184.0,169.0,59.0,74,1210,1913.0,1473.0,3650,2247,27.6,33.6,720,1850000.0
91,Piston,285,179.0,168.0,52.0,74,1030,2040.0,1450.0,3600,2195,27.6,33.6,697,1660000.0
92,Piston,285,177.0,170.0,56.0,50,1015,1525.0,1240.0,3600,1980,26.4,32.1,510,1600000.0
93,Piston,285,217.0,200.0,55.0,50,1225,1320.0,1177.0,3400,2027,26.4,33.5,600,2950000.0
94,Piston,285,183.0,177.0,55.0,44,1136,1320.0,1177.0,3400,1960,26.4,33.5,536,1750000.0
95,Piston,285,209.0,195.0,55.0,50,1225,1320.0,1177.0,3400,1950,26.4,33.5,580,2660000.0
96,Piston,285,183.0,177.0,55.0,50,1136,1320.0,1177.0,3400,1915,26.4,33.5,543,1750000.0
97,Piston,285,184.0,178.0,54.0,50,1200,1225.0,1150.0,3300,1915,26.4,33.5,543,1830000.0
98,Piston,260,178.0,170.0,52.0,50,1150,1260.0,1100.0,3125,1855,25.2,33.5,535,1920000.0
99,Piston,250,183.0,170.0,52.0,49,1170,1185.0,1050.0,2950,1832,25.1,33.5,495,2000000.0
100,Piston,250,183.0,174.0,50.0,39,1250,1175.0,1050.0,2900,1820,25.1,32.9,492,2130000.0
101,Piston,240,179.0,165.0,50.0,39,1225,1260.0,1050.0,2900,1820,25.1,32.9,470,1980000.0
102,Piston,225,169.0,160.0,48.0,39,1300,1270.0,1025.0,2775,1722,25.1,32.9,550,1900000.0
103,Piston,205,165.0,152.0,48.0,39,1100,1500.0,975.0,2700,1650,25.1,32.9,510,1800000.0
104,Piston,196,160.0,148.0,49.0,39,890,1515.0,950.0,2650,1575,25.1,32.9,470,1710000.0
105,Piston,185,160.0,150.0,48.0,39,950,1440.0,925.0,2550,1458,25.1,32.9,530,1800000.0
106,Piston,260,177.0,168.0,49.0,50,1060,1516.0,1150.0,3300,1935,25.5,32.9,513,1660000.0
107,Piston,285,181.0,174.0,53.0,50,1200,1225.0,1150.0,3300,1918,25.6,32.9,520,1830000.0
108,Piston,285,182.0,172.0,51.0,74,1167,1769.0,1324.0,3400,2125,26.8,33.6,717,1785800.0
109,Piston,285,181.0,174.0,53.0,50,1200,1225.0,1150.0,3300,1915,25.6,32.1,520,1830000.0
110,Piston,225,170.0,161.0,52.0,50,930,1288.0,1298.0,3050,1862,25.6,32.1,520,1780000.0
111,Piston,285,181.0,174.0,53.0,50,1200,1225.0,1150.0,3300,1775,25.6,32.1,520,1830000.0
112,Piston,225,170.0,161.0,52.0,50,980,1288.0,1298.0,3050,1854,25.6,32.1,568,1830000.0
113,Piston,225,170.0,161.0,52.0,50,960,1235.0,1282.0,3000,1745,25.6,32.1,568,1840000.0
114,Piston,225,170.0,161.0,52.0,50,1010,1235.0,1282.0,2900,1730,25.5,32.8,550,1980000.0
115,Piston,200,145.0,137.0,60.0,57,927,1561.0,1462.0,2750,1696,25.9,32.9,647,1538500.0
116,Piston,200,140.0,131.0,55.0,52,891,1804.0,1519.0,2750,1711,25.8,32.9,591,1434200.0
117,Piston,200,148.0,141.0,57.0,58,862,1630.0,1380.0,2750,1610,25.8,32.9,704,1435000.0
118,Piston,200,137.0,130.0,52.0,60,880,1380.0,1300.0,2550,1410,25.1,32.7,643,1485000.0
119,Piston,180,128.0,116.0,51.0,57,792,1955.0,1484.0,2450,1494,25.9,32.9,565,1260000.0
120,Piston,180,127.0,120.0,50.0,60,728,1460.0,1260.0,2400,1375,25.1,32.7,565,1187000.0
121,Piston,165,127.0,120.0,50.0,60,880,1460.0,1260.0,2350,1325,25.1,32.7,565,1187000.0
122,Piston,160,123.0,111.0,52.0,60,720,1275.0,1260.0,2300,1300,25.1,32.7,800,1350000.0
123,Piston,150,110.0,107.0,50.0,57,680,1635.0,1693.0,2150,1414,25.9,32.9,643,1165000.0
124,Piston,150,122.0,114.0,48.0,60,900,1255.0,1220.0,2200,1325,25.1,32.7,800,1490000.0
125,Piston,115,106.0,97.0,47.0,29,720,1280.0,1313.0,1675,1103,24.0,30.0,370,1290000.0
126,Piston,300,193.0,187.0,61.0,68,1170,1420.0,1340.0,3325,2372,26.4,34.2,760,2400000.0
127,Piston,300,174.0,165.0,61.0,68,1170,1420.0,1340.0,3325,2247,26.4,34.2,483,1820000.0
128,Piston,250,193.0,187.0,54.0,72,1800,890.0,1100.0,3200,2010,23.7,34.2,760,2400000.0
129,Piston,300,181.0,176.0,61.0,68,1210,1420.0,1340.0,3325,2185,26.4,34.2,550,2000000.0
130,Piston,300,166.0,163.0,61.0,60,1085,1420.0,1340.0,3325,2217,26.4,34.2,550,1700000.0
131,Piston,300,167.0,163.0,54.0,58,1840,890.0,1050.0,3200,1900,23.7,34.2,550,2100000.0
132,Piston,260,181.0,177.0,54.0,58,1500,990.0,825.0,3000,1750,23.6,34.2,639,2250000.0
133,Piston,230,179.0,170.0,42.0,40,1400,1025.0,1150.0,2700,1640,22.9,34.2,452,2000000.0
134,Piston,190,174.0,157.0,38.0,40,1250,1270.0,1025.0,2600,1575,23.0,34.2,435,2150000.0
135,Piston,150,147.0,130.0,38.0,40,1100,1350.0,975.0,2100,1520,21.2,34.2,591,1950000.0
136,Jet,3500,491.0,460.0,99.0,7400,4340,4972.0,3075.0,18300,9838,48.8,39.6,2289,4500000.0
137,Jet,3500,477.0,441.0,105.0,7431,5100,4080.0,3105.0,17000,8802,48.7,39.5,2289,4500000.0
138,Jet,3500,471.0,460.0,99.0,6198,4760,4972.0,3075.0,18300,9838,48.8,39.6,1818,4500000.0
139,Jet,3500,477.0,441.0,105.0,6171,5100,4080.0,3105.0,17000,8762,48.7,39.5,1818,4500000.0
140,Jet,2950,478.0,441.0,79.0,5373,6110,2880.0,2220.0,15000,8157,47.7,43.9,1546,4790000.0
141,Jet,2950,475.0,441.0,79.0,4704,6350,2630.0,2220.0,15000,8195,47.7,43.9,1450,4880000.0
142,Jet,2950,464.0,459.0,97.0,6098,6830,3937.0,2817.0,15000,7950,47.7,35.7,1431,5100000.0
143,Jet,2950,464.0,441.0,104.0,6098,6050,5186.0,3090.0,15000,7355,47.6,35.7,1450,4500000.0
144,Jet,2950,464.0,441.0,104.0,7464,6050,5186.0,3090.0,15000,7233,47.6,35.7,1525,4500000.0
145,Jet,2950,477.0,442.0,90.0,6098,6050,5186.0,2703.0,15000,7206,47.6,35.6,1385,4500000.0
146,Jet,2950,475.0,441.0,88.0,5628,7100,3297.0,2873.0,13500,7130,43.3,35.6,1001,4500000.0
147,Jet,2950,477.0,441.0,88.0,4791,7220,3000.0,2789.0,12900,7025,43.3,35.6,730,4500000.0
148,Jet,2950,464.0,441.0,99.0,5628,6800,3917.0,2800.0,13500,6988,43.3,35.7,1001,4500000.0
149,Jet,2950,477.0,442.0,87.0,840,6800,3917.0,2703.0,13500,6803,43.3,35.6,1001,4500000.0
150,Jet,2950,461.0,442.0,88.0,715,6900,3370.0,2850.0,12500,6519,43.3,35.6,1385,4500000.0
151,Jet,2950,474.0,437.0,88.0,834,6300,3100.0,3307.0,13500,6927,43.3,35.7,1001,4500000.0
152,Jet,2850,469.0,417.0,90.0,847,6300,3100.0,3350.0,13000,7090,43.2,35.7,1100,4100000.0
153,Jet,2850,488.0,423.0,89.0,828,6900,2940.0,2800.0,12500,6700,43.2,35.7,1000,4100000.0
154,Jet,4000,85.0,476.0,97.0,7385,4442,4690.0,2910.0,22450,13700,55.5,53.5,2300,5100000.0
155,Jet,3650,472.0,461.0,97.0,7384,3699,5030.0,2900.0,22000,11811,55.6,53.6,2600,5100000.0
156,Jet,1900,71.0,380.0,85.0,3220,3311,3080.0,2750.0,10400,6550,42.6,46.8,1485,4100000.0
157,Propjet,625,295.0,283.0,76.0,475,2435,2465.0,1875.0,9850,5682,39.0,49.4,2193,3500000.0
158,Propjet,450,263.0,250.0,79.0,366,2027,2341.0,2145.0,8200,4915,35.1,44.1,1461,3470000.0
159,Piston,375,257.0,241.0,74.0,213,1940,2323.0,2293.0,7450,5048,36.5,41.1,1197,3020000.0
160,Piston,375,245.0,235.0,74.0,175,1850,2387.0,2178.0,7450,4426,36.1,41.9,845,3100000.0
161,Piston,375,240.0,227.0,76.0,175,1700,2516.0,2110.0,6840,4252,33.8,39.9,826,2600000.0
162,Piston,375,240.0,222.0,76.0,170,1700,2516.0,2110.0,6800,4237,33.5,39.9,826,2600000.0
163,Piston,310,235.0,224.0,72.0,213,1520,2595.0,2393.0,6750,4543,36.4,44.1,1099,3080000.0
164,Piston,310,239.0,224.0,70.0,102,1580,2350.0,1865.0,6350,4039,33.9,39.11,1090,3010000.0
165,Piston,340,231.0,214.0,72.0,175,1900,2010.0,1851.0,6500,3865,33.5,39.9,908,2600000.0
166,Piston,375,232.0,217.0,70.0,348,1575,2367.0,2130.0,8400,4965,39.6,46.4,553,2600000.0
167,Piston,325,230.0,213.0,68.0,213,1450,2195.0,2485.0,6850,4238,36.4,44.1,875,2690000.0
168,Piston,300,229.0,210.0,70.0,102,1610,2220.0,1765.0,6300,4038,36.1,39.11,1180,2618000.0
169,Piston,300,227.0,209.0,69.0,102,1610,2220.0,1765.0,6300,3719,35.8,39.9,833,2618000.0
170,Piston,300,227.0,209.0,69.0,102,1610,2220.0,1765.0,6300,3674,33.8,39.9,1102,2618000.0
171,Piston,310,243.0,229.0,71.0,102,1650,2175.0,1850.0,5990,4184,34.4,38.1,1106,2980000.0
172,Piston,285,226.0,210.0,71.0,102,1500,2430.0,1840.0,5975,3730,34.4,38.1,1258,2650000.0
173,Piston,300,230.0,215.0,71.0,102,1400,2365.0,1850.0,5990,3963,34.4,38.1,928,2680000.0
174,Piston,285,239.0,226.0,64.0,102,1924,1515.0,1734.0,5300,3273,29.6,36.9,735,2900000.0
175,Piston,260,229.0,213.0,63.0,102,1820,1584.0,1910.0,5200,3260,29.6,36.9,735,2810000.0
176,Piston,260,230.0,204.0,68.0,102,1820,1890.0,2056.0,4990,3190,29.5,36.9,740,2810000.0
177,Piston,285,237.0,223.0,70.0,102,1700,1662.0,1790.0,5500,3723,31.11,36.11,517,2740000.0
178,Piston,285,238.0,225.0,67.0,102,1790,1662.0,1790.0,5500,3292,29.6,36.9,807,2820000.0
179,Piston,285,239.0,226.0,66.0,102,1862,1590.0,1790.0,5400,3292,29.3,36.9,807,2860000.0
180,Piston,285,207.0,194.0,70.0,102,1662,1700.0,1790.0,5500,3603,31.11,36.11,661,1975000.0
181,Piston,260,205.0,192.0,63.0,102,1495,1795.0,1697.0,5300,3214,29.6,36.9,680,1950000.0
182,Piston,260,206.0,193.0,62.0,102,1540,1716.0,1673.0,5200,3170,29.2,36.9,676,1990000.0
183,Piston,260,206.0,193.0,65.0,102,1540,1716.0,1582.0,5200,3125,29.5,36.11,676,1990000.0
184,Piston,260,207.0,194.0,65.0,102,1590,1640.0,1540.0,5100,3094,29.6,36.11,687,2030000.0
185,Piston,260,209.0,194.0,65.0,102,1690,1545.0,1900.0,5100,3063,29.5,37.5,687,2110000.0
186,Piston,260,210.0,191.0,73.0,102,1800,1395.0,1720.0,4990,3049,29.5,36.9,678,2130000.0
187,Piston,240,191.0,178.0,71.0,102,1700,1375.0,1710.0,4600,2850,27.1,36.1,640,1950000.0
188,Piston,250,216.0,180.0,62.0,155,1480,1750.0,1450.0,5000,3305,30.5,38.1,835,2500000.0
189,Piston,225,211.0,204.0,62.0,150,1170,1500.0,1675.0,4700,3184,29.1,38.2,939,2000000.0
190,Piston,210,207.0,200.0,62.0,90,1160,1675.0,1650.0,4630,3038,29.1,38.2,1080,2000000.0
191,Piston,210,200.0,194.0,61.0,93,1105,1675.0,1650.0,4630,2850,29.1,38.2,920,2930000.0
192,Piston,210,201.0,195.0,61.0,93,1155,1595.0,1650.0,4500,2815,29.1,38.0,920,3010000.0
193,Piston,210,201.0,195.0,59.0,93,1155,1595.0,1520.0,4500,2795,29.1,38.0,920,3010000.0
194,Piston,210,202.0,196.0,57.0,93,1250,1490.0,1500.0,4300,2785,29.1,38.0,920,3100000.0
195,Piston,210,172.0,169.0,61.0,90,940,1675.0,1650.0,4630,2925,29.9,38.2,1139,1630000.0
196,Piston,210,173.0,165.0,61.0,93,1100,1675.0,1650.0,4630,2695,29.9,38.2,920,1800000.0
197,Piston,210,173.0,166.0,60.0,93,1180,1565.0,1650.0,4440,2660,29.9,38.2,922,1930000.0
198,Piston,210,173.0,166.0,60.0,93,1200,1545.0,1650.0,4400,2655,29.9,38.0,920,1950000.0
199,Piston,210,173.0,166.0,58.0,93,1200,1545.0,1520.0,4400,2650,29.9,38.0,922,1950000.0
200,Piston,210,174.0,167.0,57.0,93,1250,1490.0,1500.0,4300,2615,29.9,38.0,922,2000000.0
201,Piston,210,174.0,167.0,55.0,93,1200,1435.0,1465.0,4200,2615,29.9,38.0,922,2050000.0
202,Piston,210,159.0,150.0,52.0,93,1300,1145.0,1395.0,3900,2320,29.7,38.0,880,1900000.0
203,Propjet,675,182.0,154.0,61.0,335,1234,2053.0,1655.0,8000,3973,37.6,52.1,866,2500000.0
204,Propjet,675,186.0,154.0,61.0,335,975,2420.0,1880.0,8750,4765,41.7,52.1,810,2370000.0
205,Piston,325,224.0,212.0,55.0,85,1150,2110.0,1600.0,4100,2471,28.4,38.1,715,2500000.0
206,Piston,310,201.0,191.0,58.0,90,945,2160.0,1500.0,4000,2481,28.2,36.9,661,2300000.0
207,Piston,325,224.0,207.0,55.0,87,1150,2110.0,1600.0,4100,2320,28.4,38.1,715,2900000.0
208,Piston,310,204.0,192.0,58.0,90,930,2160.0,1500.0,4000,2303,28.2,36.9,715,2700000.0
