,Engine Type,HP or lbs thr ea engine,Max speed Knots,Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,All eng rate of climb,Eng out rate of climb,Takeoff over 50ft,Landing over 50ft,Empty weight lbs,Length ft/in,Wing span ft/in,Range N.M.,Price
209,Piston,310,204.0,197.0,57.0,90,1030,1900.0,1500.0,3800,2306,28.2,36.9,732,2850000.0
210,Piston,285,205.0,187.0,57.0,90,930,2030.0,1500.0,3800,2180,28.3,36.9,732,2850000.0
211,Piston,285,203.0,194.0,55.0,89,1115,1365.0,1355.0,3400,2050,28.3,36.9,739,3020000.0
212,Piston,285,200.0,191.0,54.0,65,1280,1265.0,1340.0,3300,1965,28.0,36.7,539,3130000.0
213,Piston,300,174.0,170.0,57.0,90,950,2030.0,1500.0,3800,2219,28.2,36.9,600,1730000.0
214,Piston,285,174.0,167.0,55.0,90,1000,1365.0,1355.0,3400,1960,28.3,36.9,760,1830000.0
215,Piston,285,172.0,165.0,54.0,65,1115,1265.0,1340.0,3300,1865,28.0,36.7,640,1990000.0
216,Piston,285,173.0,166.0,53.0,65,1210,1110.0,1275.0,3100,1860,28.4,36.7,640,2100000.0
217,Piston,260,170.0,160.0,52.0,65,1270,1210.0,1110.0,3000,1780,27.3,36.6,680,2030000.0
218,Piston,260,173.0,165.0,51.0,65,1300,1135.0,1190.0,2900,1740,27.3,36.5,700,2070000.0
219,Piston,310,170.0,161.0,59.0,61,885,1860.0,1500.0,3800,2254,32.2,35.1,583,2600000.0
220,Piston,300,150.0,143.0,59.0,61,810,1970.0,1500.0,3800,2177,32.2,35.1,612,1330000.0
221,Piston,310,155.0,135.0,52.0,92,835,2790.0,1750.0,3600,2404,29.8,35.1,640,2560000.0
222,Piston,285,157.0,143.0,50.0,65,950,2400.0,1610.0,3600,2295,28.6,35.1,626,2420000.0
223,Piston,300,137.0,131.0,51.0,92,925,2820.0,1675.0,3500,2342,29.8,35.1,680,1390000.0
224,Piston,300,136.0,130.0,53.0,61,855,2475.0,1570.0,3500,2312,29.8,35.1,580,1390000.0
225,Piston,300,136.0,131.0,49.0,65,855,2475.0,1570.0,3500,2200,28.6,35.1,510,1390000.0
226,Piston,310,174.0,152.0,54.0,92,1010,1640.0,1395.0,3600,2066,28.3,35.1,640,2700000.0
227,Piston,285,174.0,148.0,53.0,65,1030,1810.0,1395.0,3600,1935,28.9,35.1,580,2630000.0
228,Piston,285,174.0,160.0,53.0,65,1030,1810.0,1395.0,3600,1795,27.8,36.7,627,2630000.0
229,Piston,300,156.0,147.0,54.0,92,920,1780.0,1395.0,3600,2002,28.3,35.1,680,1480000.0
230,Piston,300,151.0,143.0,53.0,65,920,1780.0,1395.0,3600,1725,28.8,36.7,510,1480000.0
231,Piston,285,151.0,142.0,53.0,65,920,1810.0,1340.0,3600,1795,27.9,36.7,555,1480000.0
232,Piston,285,154.0,144.0,52.0,65,1075,1265.0,1340.0,3300,1760,27.9,36.7,563,1670000.0
233,Piston,285,174.0,160.0,53.0,65,1030,1810.0,1395.0,3600,1915,28.3,36.7,609,2630000.0
234,Piston,310,178.0,150.0,54.0,92,1050,1740.0,1395.0,3600,2351,28.3,36.0,713,2700000.0
235,Piston,300,151.0,142.0,54.0,92,988,1860.0,1395.0,3600,2351,28.3,36.0,713,1570000.0
236,Piston,285,151.0,142.0,53.0,65,920,1810.0,1395.0,3600,1820,28.3,36.7,555,1480000.0
237,Piston,285,154.0,143.0,52.0,65,1075,1265.0,1340.0,3300,1790,28.2,36.6,565,1670000.0
238,Piston,260,145.0,138.0,50.0,65,965,1465.0,1510.0,3300,1750,27.3,36.6,515,1610000.0
239,Piston,275,152.0,143.0,54.0,80,1135,1605.0,1495.0,3350,2050,27.3,36.2,583,1625000.0
240,Piston,245,153.0,139.0,56.0,80,1050,1670.0,1495.0,3350,2030,27.3,36.2,603,1600000.0
241,Piston,300,157.0,148.0,55.0,80,1090,1670.0,1495.0,3350,2050,27.3,36.2,600,1600000.0
242,Piston,240,153.0,139.0,56.0,80,1090,1670.0,1495.0,3350,2015,27.3,36.2,610,1600000.0
243,Piston,310,113.0,106.0,58.0,54,510,2060.0,1265.0,4400,2322,26.6,41.8,283,1400000.0
244,Piston,300,106.0,101.0,57.0,54,465,2250.0,1265.0,4200,2230,25.11,41.8,290,780000.0
245,Piston,300,107.0,103.0,55.0,54,525,1965.0,1265.0,4000,2179,25.11,40.9,290,870000.0
246,Piston,300,105.0,98.0,50.0,54,690,1090.0,1265.0,4200,2220,26.3,41.8,290,1110000.0
247,Piston,300,105.0,98.0,50.0,37,690,1090.0,1265.0,4000,2189,26.3,40.9,278,1110000.0
248,Piston,230,91.0,78.0,50.0,37,400,1920.0,1265.0,3800,1900,25.3,40.9,204,650000.0
249,Piston,230,94.0,83.0,50.0,37,460,1740.0,1265.0,3800,1835,25.3,40.9,204,770000.0
250,Piston,300,131.0,123.0,50.0,37,940,970.0,1265.0,3300,1845,26.3,40.4,278,1570000.0
251,Piston,230,103.0,101.0,50.0,37,710,1365.0,1265.0,3300,1815,25.3,40.4,204,1300000.0
252,Piston,300,136.0,130.0,50.0,88,950,1710.0,1480.0,3100,2253,27.6,35.1,500,1610000.0
253,Piston,300,141.0,134.0,52.0,88,960,2125.0,1565.0,3320,1998,27.0,35.1,522,1640000.0
254,Piston,300,155.0,145.0,49.0,88,1075,1430.0,1400.0,3350,1750,25.8,35.1,645,1790000.0
255,Piston,300,155.0,147.0,51.0,65,1040,1330.0,1400.0,3350,1565,25.6,36.2,470,1750000.0
256,Piston,300,153.0,145.0,54.0,65,950,1290.0,1285.0,3300,1560,25.6,36.2,470,1690000.0
257,Piston,260,153.0,145.0,54.0,65,1000,1510.0,1265.0,3200,1520,25.5,36.0,561,1730000.0
258,Piston,235,187.0,173.0,50.0,92,1040,1570.0,1320.0,3100,1846,28.8,35.1,845,2000000.0
259,Piston,235,160.0,156.0,50.0,92,1140,1570.0,1320.0,3100,1809,28.8,35.1,845,1800000.0
260,Piston,235,168.0,157.0,49.0,92,965,1475.0,1350.0,3100,1781,28.5,35.1,743,2000000.0
261,Piston,235,176.0,159.0,49.0,92,1040,1385.0,1350.0,3100,2075,29.0,36.0,971,2000000.0
262,Piston,230,150.0,145.0,49.0,92,924,1514.0,1350.0,3100,1970,29.0,36.0,930,1810000.0
263,Piston,230,143.0,140.0,46.0,88,924,1625.0,1280.0,3110,1882,28.0,16.0,813,1810000.0
264,Piston,230,146.0,142.0,49.0,92,865,1515.0,1350.0,3100,1775,28.0,35.1,817,1490000.0
265,Piston,230,148.0,143.0,50.0,92,1010,1350.0,1350.0,2950,1754,28.0,35.1,817,1650000.0
266,Piston,230,146.0,139.0,50.0,65,890,1350.0,1350.0,2950,1640,28.1,35.1,550,1770000.0
267,Piston,230,148.0,141.0,48.0,65,980,1205.0,1350.0,2800,1620,28.5,36.2,550,1890000.0
268,Piston,230,148.0,141.0,48.0,65,980,1205.0,1350.0,2800,1610,27.4,36.2,550,1890000.0
269,Piston,230,148.0,141.0,54.0,55,1030,1080.0,1310.0,2650,1560,26.0,36.0,450,1980000.0
270,Piston,230,143.0,135.0,54.0,55,1120,1020.0,1290.0,2550,1540,26.0,36.0,443,2010000.0
271,Piston,230,137.0,123.0,48.0,88,970,1900.0,1720.0,2950,2204,27.6,35.1,804,1530000.0
272,Piston,230,137.0,123.0,48.0,61,990,2070.0,1720.0,2950,2110,27.6,35.1,804,1600000.0
273,Piston,230,137.0,123.0,48.0,61,990,2070.0,1720.0,2950,1955,27.0,35.1,804,1600000.0
274,Piston,230,148.0,141.0,48.0,88,1100,1205.0,1365.0,2800,1701,25.8,35.1,804,1770000.0
275,Piston,230,148.0,141.0,50.0,65,1090,1205.0,1365.0,2800,1525,25.6,36.2,622,1960000.0
276,Piston,230,148.0,139.0,54.0,55,1130,1080.0,1330.0,2650,1555,26.0,36.0,513,2150000.0
277,Piston,225,144.0,137.0,51.0,55,1110,1095.0,1310.0,2550,1540,26.0,36.0,513,2120000.0
278,Piston,200,157.0,149.0,50.0,61,925,1585.0,1350.0,2800,1765,27.3,35.6,500,1710000.0
279,Piston,200,153.0,144.0,50.0,51,860,1585.0,1350.0,2800,1630,27.3,35.6,506,1690000.0
280,Piston,180,139.0,130.0,46.0,50,840,1400.0,1220.0,2500,1643,27.3,35.6,490,1460000.0
281,Piston,180,133.0,123.0,46.0,50,840,1400.0,1220.0,2500,1485,27.3,35.6,417,1460000.0
282,Piston,180,130.0,120.0,49.0,49,760,1575.0,1220.0,2500,1440,27.0,35.7,410,1580000.0
283,Piston,150,125.0,117.0,46.0,49,670,1575.0,1135.0,2350,1415,27.0,35.7,591,1270000.0
284,Piston,175,123.0,118.0,56.0,52,790,1450.0,1170.0,2450,1325,25.0,36.0,589,1450000.0
285,Piston,175,128.0,121.0,54.0,52,850,1340.0,1155.0,2350,1312,25.0,36.0,593,1590000.0
286,Piston,180,144.0,140.0,50.0,66,800,1775.0,1340.0,2650,1627,27.5,35.1,720,1680000.0
287,Piston,180,123.0,122.0,48.0,54,680,1690.0,1335.0,2550,1480,26.11,36.1,475,1700000.0
288,Piston,195,132.0,130.0,47.0,52,870,1360.0,1345.0,2550,1572,27.2,35.1,570,1700000.0
289,Piston,180,126.0,124.0,48.0,56,730,1630.0,1335.0,2550,1663,27.2,36.1,638,1400000.0
290,Piston,160,123.0,122.0,47.0,53,720,1685.0,1295.0,2457,1600,26.11,36.1,580,1350000.0
291,Piston,160,123.0,120.0,46.0,43,700,1625.0,1280.0,2400,1454,26.11,35.1,440,1300000.0
292,Piston,160,124.0,122.0,44.0,43,770,1390.0,1250.0,2300,1430,26.11,35.1,440,1420000.0
293,Piston,150,122.0,115.0,44.0,42,645,1525.0,1250.0,2300,1335,26.11,35.1,435,1310000.0
294,Piston,150,122.0,115.0,43.0,42,645,1525.0,1250.0,2300,1315,26.11,35.9,417,1310000.0
295,Piston,195,117.0,116.0,44.0,52,870,1850.0,1390.0,2550,1834,26.1,35.1,539,1550000.0
296,Piston,160,96.0,95.0,44.0,43,740,2160.0,1345.0,2220,1632,26.8,35.1,440,1500000.0
297,Piston,150,98.0,97.0,44.0,42,715,2390.0,1345.0,2220,1574,27.0,35.1,435,1200000.0
298,Piston,150,94.0,92.0,45.0,42,580,2390.0,1345.0,2220,1450,27.0,35.9,435,1200000.0
299,Piston,150,94.0,92.0,45.0,42,580,2390.0,1345.0,2220,1405,26.7,35.9,418,1200000.0
300,Piston,150,122.0,115.0,43.0,42,645,1525.0,1250.0,2300,1300,26.11,36.2,515,1310000.0
301,Piston,145,121.0,114.0,43.0,42,645,1525.0,1250.0,2300,1330,26.6,36.2,515,1310000.0
302,Piston,145,121.0,114.0,43.0,42,675,1450.0,1200.0,2250,1330,26.5,36.0,515,1420000.0
303,Piston,145,122.0,114.0,51.0,42,730,1370.0,1115.0,2200,1325,26.5,36.0,515,1510000.0
304,Piston,145,117.0,108.0,50.0,37,660,1650.0,1115.0,2200,1260,25.0,36.0,420,1330000.0
305,Piston,145,122.0,104.0,50.0,42,690,1820.0,1145.0,2200,1205,25.0,36.0,410,1550000.0
306,Piston,110,110.0,107.0,43.0,26,715,1340.0,1200.0,1670,1141,24.1,33.2,315,1470000.0
307,Piston,100,109.0,106.0,42.0,26,670,1385.0,1075.0,1600,1104,23.11,33.2,303,1400000.0
308,Piston,100,106.0,102.0,42.0,26,670,1385.0,1075.0,1600,1060,23.9,33.2,303,1265000.0
309,Piston,100,108.0,103.0,42.0,26,670,1385.0,1075.0,1600,1040,23.9,32.9,303,1400000.0
310,Piston,100,104.0,100.0,42.0,26,670,1385.0,1075.0,1600,1020,23.9,32.9,303,1265000.0
311,Piston,100,106.0,102.0,42.0,26,670,1385.0,1075.0,1600,1065,23.9,32.9,303,1265000.0
312,Piston,100,90.0,85.0,43.0,26,560,2075.0,850.0,1650,1120,24.1,32.9,276,1070000.0
313,Piston,100,109.0,102.0,43.0,26,670,1375.0,1075.0,1600,970,23.9,32.8,303,1265000.0
314,Piston,100,108.0,105.0,43.0,26,740,1205.0,1055.0,1500,965,21.1,33.4,320,1530000.0
315,Piston,100,108.0,104.0,47.0,26,740,1205.0,1055.0,1500,962,21.0,33.4,318,1530000.0
316,Piston,90,103.0,90.0,46.0,21,640,1850.0,1530.0,1500,850,20.9,33.3,315,1560000.0
317,Piston,85,102.0,88.0,46.0,21,620,1950.0,1530.0,1500,850,20.9,33.3,315,1510000.0
318,Piston,85,104.0,100.0,43.0,25,640,1850.0,1530.0,1450,818,20.9,32.8,390,1550000.0
319,Piston,270,197.0,187.0,59.0,90,1050,2223.0,1312.0,3305,2152,24.11,32.1,870,2500000.0
320,Piston,265,164.0,149.0,54.0,90,1070,1985.0,1200.0,3250,2102,24.11,32.1,1005,1680000.0
321,Piston,270,197.0,177.0,59.0,90,1050,2223.0,1312.0,3305,2151,24.11,32.9,870,2500000.0
322,Piston,260,166.0,157.0,54.0,68,1030,2150.0,1200.0,3260,2070,25.1,32.9,665,1650000.0
323,Piston,260,166.0,157.0,55.0,68,1088,1990.0,1200.0,3140,1905,25.1,32.9,665,1740000.0
324,Piston,210,170.0,163.0,54.0,48,914,1750.0,1275.0,2950,2035,25.1,35.7,620,2000000.0
325,Piston,200,150.0,142.0,51.0,48,950,1829.0,1039.0,2800,1773,25.1,35.7,575,1505000.0
326,Piston,200,149.0,140.0,54.0,48,1020,1585.0,1310.0,2650,1691,24.1,32.9,569,1390000.0
327,Piston,200,152.0,143.0,53.0,60,1000,1460.0,1310.0,2550,1530,24.11,32.9,750,1700000.0
328,Piston,100,122.0,103.0,27.0,25,790,975.0,1040.0,1320,825,23.3,34.2,434,1800000.0
329,Jet,4750,513.0,459.0,81.0,19165,4000,4950.0,3500.0,45500,22573,66.4,63.5,4400,4100000.0
330,Jet,4500,513.0,459.0,81.0,19165,3500,5300.0,3500.0,45500,22573,66.4,63.5,4200,3900000.0
331,Jet,3700,518.0,430.0,77.0,15520,3430,4700.0,2800.0,38800,21100,60.9,61.1,3500,4100000.0
332,Jet,5200,521.0,435.0,89.0,10684,3065,5260.0,2860.0,32000,18800,56.3,53.6,2500,3900000.0
333,Jet,4125,530.0,457.0,90.0,8420,3500,3800.0,2940.0,26455,16600,56.3,53.6,1200,4200000.0
334,Jet,4250,512.0,457.0,90.0,8980,3500,6400.0,4850.0,27337,15400,56.3,53.6,1630,4200000.0
335,Jet,4315,530.0,458.0,84.5,9250,3300,5000.0,3300.0,28660,15970,56.3,53.6,1610,4200000.0
336,Jet,4500,530.0,410.0,88.0,9098,3330,4950.0,2450.0,28660,17500,56.3,53.6,1614,3700000.0
337,Jet,3230,513.0,459.0,84.0,5912,4600,4615.0,2750.0,19300,11200,45.6,42.11,1828,3900000.0
338,Jet,3230,513.0,459.0,88.0,5912,4600,4615.0,2750.0,18740,10800,45.6,42.11,1828,4500000.0
339,Jet,3230,459.0,426.0,92.0,5910,4200,4300.0,3300.0,18300,10800,45.4,42.11,1800,4500000.0
340,Propjet,620,182.0,170.0,58.0,2583,1600,1500.0,1940.0,12500,6881,51.9,65.0,300,2670000.0
341,Propjet,620,182.0,171.0,64.0,2457,1600,1940.0,1940.0,12500,7487,51.9,65.0,300,2670000.0
342,Piston,135,194.0,172.0,56.0,52,1280,1730.0,1877.0,3935,2765,28.1,44.6,1129,1800000.0
343,Propjet,700,300.0,291.0,61.0,1887,2380,1591.0,2034.0,6579,4050,34.11,41.7,1563,3000000.0
344,Piston,250,167.0,160.0,54.0,86,1260,1953.0,1750.0,3083,1744,25.4,32.6,1100,2000000.0
345,Jet,900,64.0,426.0,69.0,1686,3314,2297.0,2155.0,5920,3550,33.6,37.11,1300,4100000.0
346,Propjet,1000,278.0,248.0,88.0,648,2635,3340.0,2970.0,14500,9200,59.4,57.0,2040,2990000.0
347,Propjet,1000,283.0,261.0,87.0,648,2440,2850.0,2532.0,14000,9100,59.4,57.0,2040,3000000.0
348,Propjet,900,303.0,264.0,92.0,648,2650,3080.0,2805.0,13230,8200,42.2,47.11,2178,2940000.0
349,Propjet,900,300.0,265.0,92.0,648,2650,2920.0,3530.0,13230,8150,42.2,46.3,2025,2700000.0
350,Propjet,900,303.0,264.0,89.0,648,2800,2400.0,3360.0,12500,8090,42.2,46.3,2025,2940000.0
351,Propjet,900,309.0,295.0,89.0,648,2780,2970.0,3240.0,12500,7800,42.2,46.3,2025,3140000.0
352,Piston,100,145.0,119.0,35.0,29,850,1050.0,1100.0,1320,760,20.4,31.6,730,1320000.0
353,Piston,100,133.0,116.0,36.0,18,850,1450.0,1410.0,1320,820,20.6,20.6,400,1320000.0
354,Jet,13850,505.0,459.0,115.0,29500,4122,5450.0,3190.0,75000,42500,88.4,77.1,4220,4500000.0
355,Jet,13850,510.0,459.0,108.0,29500,4219,5265.0,3393.0,73200,42500,88.4,77.1,4420,4500000.0
356,Jet,11400,503.0,459.0,104.0,28300,4049,5115.0,3250.0,69700,38000,83.1,77.1,3767,4500000.0
357,Jet,11400,503.0,459.0,103.0,28300,4049,5115.0,3250.0,69700,38150,79.11,77.1,3680,4500000.0
358,Jet,11400,503.0,459.0,103.0,26800,4240,5750.0,3168.0,65500,37186,79.11,72.6,2795,4500000.0
359,Jet,11400,503.0,459.0,108.0,23300,4345,5625.0,3198.0,64800,36544,79.11,68.11,2592,4500000.0
360,Jet,3700,476.0,415.0,89.0,9580,3500,5250.0,2350.0,23500,12800,52.3,44.9,2904,4500000.0
361,Jet,3700,471.0,426.0,90.0,8710,3200,4950.0,2450.0,22850,12500,52.3,44.9,2440,4500000.0
362,Jet,3100,471.0,426.0,87.0,8620,4040,5750.0,2900.0,20700,11500,52.3,44.8,1450,4500000.0
363,Jet,2950,471.0,426.0,84.0,7350,5000,5450.0,3900.0,18500,10500,50.5,43.3,1100,4500000.0
364,Jet,2850,471.0,426.0,82.0,6250,4400,5400.0,3900.0,17500,10500,50.5,43.3,950,4000000.0
365,Piston,180,122.0,114.0,39.0,40,800,1275.0,900.0,2400,1555,24.11,38.0,296,1300000.0
366,Piston,180,123.0,117.0,45.0,30,800,1375.0,900.0,2350,1520,23.6,34.0,305,1350000.0
367,Piston,150,109.0,97.0,50.0,30,700,1550.0,900.0,2150,1450,23.6,34.0,320,950000.0
368,Piston,180,149.0,143.0,39.0,40,800,1275.0,900.0,2400,1575,24.11,38.0,543,2000000.0
369,Piston,200,135.0,130.0,39.0,40,1200,1050.0,950.0,2690,1555,24.11,38.0,455,1470000.0
370,Piston,90,96.0,83.0,37.0,25,660,1850.0,1540.0,1400,870,20.0,35.0,273,1600000.0
371,Piston,85,91.0,83.0,37.0,30,640,1850.0,1540.0,1400,791,19.8,34.7,346,1550000.0
372,Piston,65,91.0,78.0,37.0,14,550,1950.0,1540.0,1260,750,19.8,34.7,182,1400000.0
373,Piston,235,157.0,129.0,38.0,40,1900,540.0,540.0,2500,1425,23.6,33.2,360,2000000.0
374,Piston,220,157.0,150.0,33.0,42,1250,585.0,600.0,2300,1300,23.2,30.1,485,1900000.0
375,Piston,210,157.0,137.0,33.0,40,1250,600.0,600.0,2300,1350,22.9,30.1,345,1800000.0
376,Piston,220,157.0,152.0,35.0,42,1250,600.0,650.0,2300,1280,22.0,29.8,530,1900000.0
377,Piston,210,157.0,143.0,35.0,42,1250,585.0,600.0,2100,1250,22.0,29.8,500,1800000.0
378,Piston,180,148.0,135.0,35.0,42,1000,700.0,600.0,2300,1250,22.6,29.8,525,1700000.0
379,Piston,145,157.0,130.0,35.0,42,700,900.0,600.0,2100,1100,22.0,29.8,750,1200000.0
380,Jet,2500,430.0,400.0,77.0,4260,3050,3850.0,2800.0,14630,9410,48.5,43.6,1513,4100000.0
381,Jet,2500,434.0,410.0,77.0,646,3000,4100.0,2700.0,13890,8300,48.4,43.5,1510,4100000.0
382,Propjet,778,309.0,296.0,77.0,403,2200,2170.0,1880.0,11575,7650,39.5,39.2,1391,2975000.0
383,Propjet,727,322.0,313.0,73.0,403,2350,1800.0,1600.0,10470,7010,33.3,39.2,1600,3350000.0
384,Propjet,724,317.0,304.0,73.0,364,2840,1800.0,1600.0,10470,6864,33.3,39.2,1250,3220000.0
385,Propjet,776,296.0,283.0,77.0,364,2630,2170.0,1880.0,11575,7570,39.5,39.2,1200,2960000.0
386,Propjet,724,317.0,270.0,71.0,366,3100,1700.0,1490.0,9920,5920,33.3,39.2,1175,3320000.0
387,Propjet,724,300.0,265.0,73.0,366,2690,1870.0,1670.0,10800,6800,39.5,39.2,1150,3080000.0
388,Propjet,705,283.0,261.0,73.0,366,2590,1890.0,1670.0,10800,6700,39.5,39.2,1100,2700000.0
389,Propjet,705,296.0,270.0,71.0,366,2875,1700.0,1320.0,9920,5790,33.3,39.2,1150,3040000.0
390,Jet,280,242.0,175.0,56.0,89,1375,2100.0,2650.0,3368,2380,26.8,36.6,1275,2500000.0
391,Piston,280,197.0,191.0,60.0,95,1200,1700.0,1600.0,3368,2200,26.9,36.1,900,2100000.0
392,Piston,310,217.0,200.0,60.0,92,1120,2079.0,1549.0,3680,2380,26.1,35.0,813,2400000.0
393,Piston,310,197.0,170.0,59.0,100,1300,2600.0,2500.0,3380,2250,26.8,36.6,1450,2000000.0
394,Piston,220,213.0,197.0,60.0,80,1300,2000.0,2320.0,3100,2000,25.5,36.1,1100,2500000.0
395,Piston,210,219.0,201.0,59.0,75,1080,2200.0,2300.0,2900,1800,25.5,36.1,980,2800000.0
396,Piston,200,178.0,171.0,54.0,64,1060,1700.0,1600.0,2740,1710,24.8,36.1,690,1860000.0
397,Piston,210,201.0,191.0,57.0,75,1080,2060.0,2280.0,2900,1800,25.5,36.1,980,2400000.0
398,Piston,200,175.0,170.0,53.0,64,1030,1550.0,1550.0,2740,1671,24.8,36.1,690,1880000.0
399,Piston,200,161.0,156.0,54.0,64,1055,1385.0,1786.0,2740,1640,24.0,35.0,734,1880000.0
400,Piston,200,165.0,160.0,50.0,52,1125,1550.0,1550.0,2575,1600,23.2,35.0,601,2120000.0
401,Piston,180,155.0,147.0,50.0,52,875,1250.0,1670.0,2525,1585,24.3,35.0,627,1700000.0
402,Piston,180,147.0,143.0,50.0,52,800,1395.0,1610.0,2575,1525,23.2,35.0,659,1650000.0
403,Piston,180,153.0,150.0,50.0,52,860,1395.0,1550.0,2575,1525,23.2,35.0,659,1950000.0
404,Piston,200,171.0,163.0,50.0,52,1110,1300.0,1365.0,2575,1575,23.2,35.0,601,1880000.0
405,Piston,180,165.0,158.0,50.0,52,800,1250.0,1550.0,2575,1525,23.2,35.0,659,1720000.0
406,Piston,180,165.0,158.0,50.0,52,1150,1050.0,1100.0,2450,1525,23.2,35.0,745,1850000.0
407,Piston,180,165.0,157.0,50.0,35,1150,1050.0,1100.0,2450,1440,23.1,35.0,513,2000000.0
408,Piston,150,149.0,143.0,50.0,35,900,1150.0,1100.0,2450,1415,23.1,35.0,655,1720000.0
409,Piston,180,128.0,117.0,50.0,52,740,1125.0,1100.0,2500,1455,23.2,35.0,715,1360000.0
410,Piston,90,103.0,96.0,40.0,24,835,953.0,1016.0,1450,950,20.8,30.0,484,1250000.0
411,Piston,90,112.0,108.0,39.0,24,640,1250.0,1350.0,1450,950,20.0,30.0,456,1730000.0
412,Piston,285,177.0,166.0,48.0,40,1375,980.0,980.0,3315,2000,27.5,34.9,335,2150000.0
413,Piston,260,160.0,156.0,51.0,108,1150,980.0,980.0,3315,1925,27.5,34.5,1043,2050000.0
414,Piston,260,165.0,147.0,57.0,40,1110,1100.0,1100.0,2850,1950,27.3,33.3,340,1660000.0
415,Piston,205,142.0,135.0,57.0,40,1050,900.0,1100.0,2750,1782,27.3,33.3,430,1560000.0
416,Propjet,1200,270.0,265.0,64.0,402,1680,2300.0,1830.0,9920,5732,47.3,53.3,2261,3000000.0
417,Propjet,720,312.0,288.0,89.0,578,2380,2280.0,3043.0,11200,6837,43.5,47.8,1722,3584000.0
418,Propjet,720,290.0,275.0,87.0,390,2236,3230.0,3017.0,11200,6389,43.5,47.8,1515,3200000.0
419,Propjet,620,275.0,270.0,77.0,382,1750,2940.0,2446.0,9474,5164,36.8,42.8,1336,3240000.0
420,Propjet,620,283.0,269.0,75.0,382,2710,1980.0,2480.0,9000,5018,34.8,42.8,1444,3160000.0
